drink_id,name,description,category,price_tier,sweetness_level,caffeine_content,sugar_content,calorie_content,image_url,is_alcoholic,alcohol_content,safety_flags,created_at,updated_at
12,Smashed Watermelon Margarita,"In a mason jar muddle the watermelon and 5 mint leaves together into a puree and strain. Next add the grapefruit juice, juice of half a lime and the tequila as well as some ice. Put a lid on the jar and shake. Pour into a glass and add more ice. Garnish with fresh mint and a small slice of watermelon.",Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/dztcv51598717861.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:47:08.220941,2025-12-04 20:47:08.220946
13,A1,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.296845,2025-12-04 20:49:07.29685
14,ABC,Layered in a shot glass.,Shot,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.317831,2025-12-04 20:49:07.317836
15,Ace,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.326561,2025-12-04 20:49:07.326564
16,ACID,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,Shot,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.335452,2025-12-04 20:49:07.335455
17,AT&T,"Pour Vodka and Gin over ice, add Tonic and Stir",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.343101,2025-12-04 20:49:07.343108
18,Adam,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.350353,2025-12-04 20:49:07.350357
19,A. J.,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.357548,2025-12-04 20:49:07.357551
20,Affair,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.370258,2025-12-04 20:49:07.370264
21,Avalon,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.381528,2025-12-04 20:49:07.381532
22,Apello,Stirr. Grnish with maraschino cherry.,Other / Unknown,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,f,0,[],2025-12-04 20:49:07.390296,2025-12-04 20:49:07.390299
23,Almeria,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.397936,2025-12-04 20:49:07.39794
24,Abilene,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.405954,2025-12-04 20:49:07.405958
25,Addison,Shake together all the ingredients and strain into a cold glass.,Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.417078,2025-12-04 20:49:07.417083
26,Aviation,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.424645,2025-12-04 20:49:07.424649
27,Applecar,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.433574,2025-12-04 20:49:07.433577
28,Affinity,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.441033,2025-12-04 20:49:07.441037
29,Acapulco,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.447953,2025-12-04 20:49:07.447957
30,Alexander,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.45454,2025-12-04 20:49:07.454543
31,Avalanche,"Mix in highball glass over ice, shake well.",Shake,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/uppqty1472720165.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.462093,2025-12-04 20:49:07.462097
32,Allegheny,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.468826,2025-12-04 20:49:07.468829
33,Americano,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.476032,2025-12-04 20:49:07.476036
34,Algonquin,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.48235,2025-12-04 20:49:07.482354
35,Artillery,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.48885,2025-12-04 20:49:07.488854
36,Afterglow,Mix. Serve over ice.,Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,f,0,[],2025-12-04 20:49:07.49545,2025-12-04 20:49:07.495454
37,Addington,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:07.50221,2025-12-04 20:49:07.502214
38,B-52,Layer ingredients into a shot glass. Serve with a stirrer.,Shot,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.414518,2025-12-04 20:49:13.41453
39,B-53,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",Shot,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.435824,2025-12-04 20:49:13.435828
40,Bijou,"Stir in mixing glass with ice and strain
",Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.443856,2025-12-04 20:49:13.44386
41,Boxcar,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.452048,2025-12-04 20:49:13.452053
42,Big Red,Pour ingredients into 1 ounce shot glass,Shot,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.459232,2025-12-04 20:49:13.459236
43,Bellini,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.465818,2025-12-04 20:49:13.465821
44,Bramble,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.472397,2025-12-04 20:49:13.472402
45,Balmoral,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.479437,2025-12-04 20:49:13.479441
46,Bluebird,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.486195,2025-12-04 20:49:13.486203
47,Brooklyn,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.493305,2025-12-04 20:49:13.493309
48,Bora Bora,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,f,0,[],2025-12-04 20:49:13.500273,2025-12-04 20:49:13.500278
49,Boomerang,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.507208,2025-12-04 20:49:13.507212
50,Barracuda,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.513721,2025-12-04 20:49:13.513725
51,Brigadier,Mix ingredients in a warmed mug and stir.,Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.520606,2025-12-04 20:49:13.520609
52,Broadside,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.527225,2025-12-04 20:49:13.527229
53,Buccaneer,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,Beer,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.534581,2025-12-04 20:49:13.534585
54,Brain Fart,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,Punch / Party Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.541046,2025-12-04 20:49:13.541049
55,Blackthorn,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/dgj92f1616098672.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.547982,2025-12-04 20:49:13.547986
56,Bob Marley,Layer in a 2 oz shot glass or pony glass,Shot,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.554422,2025-12-04 20:49:13.554426
57,Bible Belt,"Mix all ingredients, and pour over ice.",Other / Unknown,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.561768,2025-12-04 20:49:13.561773
58,Bubble Gum,Layer in order into a shot glass.,Shot,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.56884,2025-12-04 20:49:13.568844
59,Bumble Bee,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",Shot,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.575483,2025-12-04 20:49:13.575487
60,Baby Eskimo,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",Shake,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.582426,2025-12-04 20:49:13.582431
61,Boston Sour,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.589202,2025-12-04 20:49:13.589205
62,Bahama Mama,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:13.595565,2025-12-04 20:49:13.59557
63,Casino,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.456632,2025-12-04 20:49:19.456637
64,Cafe Savoy,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",Coffee / Tea,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.479459,2025-12-04 20:49:19.479464
65,Caipirinha,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.48897,2025-12-04 20:49:19.488975
66,Cream Soda,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.497734,2025-12-04 20:49:19.497738
67,Cuba Libra,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.506288,2025-12-04 20:49:19.506294
68,Cherry Rum,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.514386,2025-12-04 20:49:19.514391
69,Cuba Libre,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/wmkbfj1606853905.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.522424,2025-12-04 20:49:19.522429
70,Corn n Oil,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.530787,2025-12-04 20:49:19.530792
71,Citrus Coke,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,Soft Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.539267,2025-12-04 20:49:19.539273
72,Casa Blanca,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.546353,2025-12-04 20:49:19.546357
73,Clover Club,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.554289,2025-12-04 20:49:19.554293
74,Caipirissima,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.561432,2025-12-04 20:49:19.561437
75,City Slicker,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.569004,2025-12-04 20:49:19.569008
76,Campari Beer,Use a 15 oz glass. Add Campari first. Fill with beer.,Beer,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.576668,2025-12-04 20:49:19.576672
77,Chicago Fizz,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.583783,2025-12-04 20:49:19.583787
78,Cosmopolitan,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.591319,2025-12-04 20:49:19.591324
79,Coffee-Vodka,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",Homemade Liqueur,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.598064,2025-12-04 20:49:19.598067
80,Casino Royale,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.605346,2025-12-04 20:49:19.605351
81,Corpse Reviver,"Shake, strain, straight up, cocktail glass rinsed with absinthe
",Cocktail,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/gifgao1513704334.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.612227,2025-12-04 20:49:19.612232
82,Chocolate Milk,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",Shot,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.619342,2025-12-04 20:49:19.619346
83,Clove Cocktail,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.625763,2025-12-04 20:49:19.625767
84,Coffee Liqueur,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",Homemade Liqueur,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:19.632648,2025-12-04 20:49:19.632652
85,Coke and Drops,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",Soft Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,f,0,[],2025-12-04 20:49:19.655296,2025-12-04 20:49:19.655301
86,Chocolate Drink,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",Cocoa,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,f,0,[],2025-12-04 20:49:19.664435,2025-12-04 20:49:19.664439
87,Cranberry Punch,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.",Punch / Party Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg,f,0,[],2025-12-04 20:49:19.672186,2025-12-04 20:49:19.67219
88,Derby,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,Ordinary Drink,$$,5,0,0,0,https://www.thecocktaildb.com/images/media/drink/52weey1606772672.jpg,t,0,"[""contains alcohol""]",2025-12-04 20:49:25.61619,2025-12-04 20:49:25.616198
